ms,sm_util_pct,mem_util_pct,cpu_util_pct,vram_used_mb,pcie_rx_kbs,pcie_tx_kbs
385.462,0,0,0.0,8570.798,50,0
598.171,0,0,0.1,8570.798,50,50
872.948,0,0,0.2,8570.798,50,50
984.544,0,0,0.0,8570.798,50,50
1076.308,0,0,0.1,8570.798,1250,50
1288.505,0,0,0.3,8570.798,50,50
1500.673,2,0,0.9,8570.798,2483350,8550
1591.951,19,0,0.8,8570.798,31400,9050
1683.319,46,20,0.0,8570.798,34100,6950
1976.106,46,20,0.0,8570.798,1950,50
2148.829,0,0,0.9,8570.798,1200,244800
2240.317,1,0,4.7,8570.798,31700,8200
2331.960,1,0,2.0,8570.798,32850,9150
2423.576,19,1,3.1,8570.798,11727350,16800
2514.976,35,2,5.0,8570.798,56850,13200
2606.182,35,2,4.0,8570.798,31500,11550
2697.565,23,1,0.0,8570.798,46000,12500
2788.897,23,1,3.0,8570.798,43000,10350
2880.207,23,1,2.8,8570.798,31750,9500
2971.811,23,1,2.8,8570.798,35100,10150
3063.540,20,0,2.8,8570.798,42200,11550
3155.144,20,0,2.6,8570.798,42850,63800
3246.577,15,1,3.0,8570.798,8300,569450
3398.465,15,1,4.2,8570.798,1669550,286300
3570.633,9,0,2.6,8570.798,1103850,2550750
3722.436,8,0,3.0,8570.798,50,291300
3813.996,17,0,2.2,8570.798,32300,9450
3905.219,29,11,0.8,8570.798,36350,7800
4056.965,29,11,0.8,8570.798,2000,50
4350.296,54,18,2.4,8570.798,1250,0
4441.886,0,0,3.0,8570.798,40000,9000
4533.487,14,0,1.6,8570.798,722750,11100
4624.796,14,0,2.4,8570.798,1960050,1067600
4716.358,35,2,2.7,8570.798,63900,11400
4807.608,35,2,4.2,8570.798,34200,11100
4898.957,24,2,4.0,8570.798,44500,12500
4990.215,24,2,4.3,8570.798,37300,10750
5081.513,21,1,3.8,8570.798,34050,8850
5172.934,21,1,3.5,8570.798,37500,9800
5264.170,20,1,3.1,8570.798,41700,9550
5355.445,20,1,3.2,8570.798,32150,431250
5447.073,16,1,3.9,8570.798,26950,778950
5539.026,10,0,3.7,8570.798,50,50
5811.920,10,0,2.8,8570.798,11300,50
5984.598,0,0,1.1,8570.798,50,50
6138.582,0,0,0.2,8570.798,50,50
6552.455,0,0,0.2,8570.798,50,0
6866.378,0,0,0.0,8570.798,50,0
7119.423,0,0,1.2,8570.798,50,50
7332.272,0,0,0.0,8570.798,1250,100
7688.577,0,0,0.1,8570.798,50,50
7779.815,0,0,0.3,8570.798,184000,991550
7871.250,14,0,5.4,8570.798,514000,906250
7962.917,14,0,0.8,8570.798,369150,1672000
8054.366,35,1,3.7,8570.798,416200,833850
8145.737,35,1,3.6,8570.798,631800,1203900
8237.164,32,1,6.1,8570.798,82900,193550
8328.470,32,1,4.2,8570.798,113950,332350
8419.966,28,0,1.6,8570.798,106450,586550
8511.175,28,0,3.8,8570.798,639950,797150
8602.867,32,0,3.6,8570.798,550600,131850
8694.170,32,0,3.3,8570.798,12400,2068850
8805.581,20,1,10.8,8570.798,50,50
9078.313,8,0,4.9,8570.798,50,22150
9169.739,0,0,5.9,8570.798,1150,22800
9261.480,3,0,3.0,8570.798,7100,1300
9352.778,3,0,5.4,8570.798,750,450
9444.031,4,0,1.7,8570.798,286600,13250
9536.961,4,0,2.6,8570.798,194700,53150
9628.096,12,1,2.9,8570.798,393400,113100
9719.312,11,1,2.1,8570.798,3500,25700
9810.498,11,1,1.6,8570.798,11300,92200
9901.777,12,1,1.9,8570.798,788050,5600
9993.099,12,1,1.7,8570.798,227900,3600
10084.300,16,1,1.8,8570.798,198200,4150
10175.372,16,1,2.1,8570.798,584150,24350
10266.489,10,1,1.7,8570.798,606350,36550
10357.744,10,1,1.9,8570.798,13250,1800
10448.989,13,1,2.1,8570.798,14600,47600
10540.238,13,1,1.9,8570.798,25900,8600
10631.529,10,1,1.8,8570.798,14150,4350
10723.886,11,1,2.9,8570.798,203350,27450
10815.219,11,1,2.0,8570.798,415150,11850
11087.889,15,2,3.0,8570.798,188150,22600
11179.149,0,0,4.7,8570.798,189350,1950
11270.299,4,0,5.7,8570.798,17600,134950
11361.607,4,0,2.5,8570.798,4200,1150
11452.959,7,0,2.1,8570.798,11500,24000
11544.048,7,0,1.6,8570.798,192750,1750
11635.286,4,0,1.8,8570.798,1906750,222100
11726.297,13,1,1.9,8570.798,918700,90000
11817.598,13,1,1.5,8570.798,208900,9000
11909.699,22,2,2.5,8570.798,202900,26350
12000.762,22,2,2.0,8570.798,203850,6850
12091.927,10,1,1.7,8570.798,26000,25400
12183.113,10,1,1.8,8570.798,199200,3950
12274.410,10,1,1.8,8570.798,395400,19050
12365.748,10,1,2.2,8570.798,12100,46900
12457.203,12,1,1.9,8570.798,415900,6900
12548.583,12,1,2.3,8570.798,207400,17450
12639.772,14,1,2.6,8570.798,17200,12300
12730.949,10,1,3.5,8570.798,221350,38500
12822.381,10,1,4.3,8570.798,41350,24100
12995.697,15,1,2.7,8570.798,50,50
13288.917,0,0,28.0,8570.798,55250,308150
13582.352,0,0,15.4,8570.798,200,0
13734.214,0,0,18.9,8570.798,50,50
14027.103,0,0,1.5,8570.798,50,0
14322.007,0,0,1.1,8570.798,50,0
14494.292,0,0,1.1,8570.798,50,50
14867.888,0,0,1.1,8570.798,50,50
15201.156,0,0,1.0,8570.798,50,50
15292.752,0,0,5.7,8570.798,182800,741450
